slug,English product,source photograph URL,physically included product photo,local path,fallback illustration
category-a1-wood-pellets,Category A1 Wood Pellets,https://woodbrezany.com/wp-content/uploads/2025/11/Holzpellets-EN-Plus-A1-kaufen.webp,Yes,assets/img/reference-media/category-a1-wood-pellets.webp,assets/img/products/category-a1-wood-pellets.svg
alder-wood-chips,Alder Wood Chips,https://woodbrezany.com/wp-content/uploads/2013/06/Koupit-olsove-drevene-stepky-300x300.webp,No — URL referenced by supplied archive,,assets/img/products/alder-wood-chips.svg
alder-firewood,Alder Firewood,https://woodbrezany.com/wp-content/uploads/2013/08/Koupit-olsove-palivove-drevo.webp,No — URL referenced by supplied archive,,assets/img/products/alder-firewood.svg
pecan-smoking-wood-chips,Pecan Smoking Wood Chips,https://woodbrezany.com/wp-content/uploads/2013/06/Koupit-pekanove-drevni-stepky.webp,No — URL referenced by supplied archive,,assets/img/products/pecan-smoking-wood-chips.svg
dinplus-enplus-a1-pellets,DINplus ENplus A1 Pellets,https://woodbrezany.com/wp-content/uploads/2013/06/Koupit-pelety-DINplus-EN-Plus-A1.webp,No — URL referenced by supplied archive,,assets/img/products/dinplus-enplus-a1-pellets.svg
industrial-din-pellets,Industrial DIN Pellets,https://woodbrezany.com/wp-content/uploads/2013/08/Koupit-prumyslove-pelety-DIN.webp,No — URL referenced by supplied archive,,assets/img/products/industrial-din-pellets.svg
peat-briquettes,Peat Briquettes,https://woodbrezany.com/wp-content/uploads/2013/08/Koupit-raselinove-brikety.webp,No — URL referenced by supplied archive,,assets/img/products/peat-briquettes.svg
din-hay-pellets,DIN Hay Pellets,https://woodbrezany.com/wp-content/uploads/2025/11/Buy-DIN-Hay-Pellets-for-heating.webp,Yes,assets/img/reference-media/din-hay-pellets.webp,assets/img/products/din-hay-pellets.svg
din-straw-pellets,DIN Straw Pellets,https://woodbrezany.com/wp-content/uploads/2013/06/Koupit-slamove-pelety-DIN.webp,No — URL referenced by supplied archive,,assets/img/products/din-straw-pellets.svg
mixed-wood-shavings,Mixed Wood Shavings,https://woodbrezany.com/wp-content/uploads/2025/11/Buy-Mixed-Wood-Shavings-UK.webp,No — URL referenced by supplied archive,,assets/img/products/mixed-wood-shavings.svg
spruce-sawdust,Spruce Sawdust,https://woodbrezany.com/wp-content/uploads/2013/08/Koupit-smrkove-piliny.webp,Yes,assets/img/reference-media/spruce-sawdust.webp,assets/img/products/spruce-sawdust.svg
kiln-dried-firewood,Kiln-Dried Firewood,https://woodbrezany.com/wp-content/uploads/2013/06/Koupit-susene-palivove-drevo-300x300.webp,Yes,assets/img/reference-media/kiln-dried-firewood.webp,assets/img/products/kiln-dried-firewood.svg
poplar-firewood,Poplar Firewood,https://woodbrezany.com/wp-content/uploads/2013/06/Koupit-topolove-palivove-drevo.webp,Yes,assets/img/reference-media/poplar-firewood.webp,assets/img/products/poplar-firewood.svg
lignite-fuel-briquettes,Lignite Fuel Briquettes,https://woodbrezany.com/wp-content/uploads/2014/07/Koupit-briketove-uhli-.webp,No — URL referenced by supplied archive,,assets/img/products/lignite-fuel-briquettes.svg
coconut-shisha-charcoal,Coconut Shisha Charcoal,https://woodbrezany.com/wp-content/uploads/2026/07/Buy-shisha-charcoal-online-UK-300x300.webp,No — URL referenced by supplied archive,,assets/img/products/coconut-shisha-charcoal.svg
mixed-seasoned-firewood,Mixed Seasoned Firewood,https://woodbrezany.com/wp-content/uploads/2013/06/Prodej-smiseneho-palivoveho-dreva.webp,No — URL referenced by supplied archive,,assets/img/products/mixed-seasoned-firewood.svg
